1,2723 N Fairfield Ave,Chicago,IL,
2,2723 N Fairfield Ave,Chicago,IL,
3,2402 N Washtenaw Ave,Chicago,IL,
4,2236 N Rockwell St,Chicago,IL,
5,2236 N Rockwell St,Chicago,IL,
6,2236 N Rockwell St,Chicago,IL,
7,3116 W Belden Ave,Chicago,IL,
8,2021 N Point St,Chicago,IL,
9,2040 N Milwaukee Ave,Chicago,IL,
10,2533 W Homer St,Chicago,IL,
11,1640 N Maplewood,Chicago,IL,
12,2315 W Le Moyne St ,Chicago,IL,
13,1147 N Western Ave,Chicago,IL,
14,2020 W Schiller St,Chicago,IL,
15,1425 W Damen Ave,Chicago,IL,
16,1148 N Honore St,Chicago,IL,
17,1425 W Damen Ave,Chicago,IL,
18,1501 N Greenview Ave,Chicago,IL,
19,1424 N Cleaver St,Chicago,IL,
20,1148 N Honore St,Chicago,IL,
21,1419 W Blackhawk St,Chicago,IL,
22,936 N Ashland Ave,Chicago,IL,
23,1424 N Cleaver St,Chicago,IL,
24,936 N Ashland Ave,Chicago,IL,
25,525 N Armour St,Chicago,IL,
26,525 N Armour St,Chicago,IL,
27,680 N Lake Shore Dr,Chicago,IL,
28,680 N Lake Shore Dr,Chicago,IL,
29,808 N Lake Shore Dr,Chicago,IL,
30,420 E Superior St,Chicago,IL,
31,25 E Superior St,Chicago,IL,
32,808 N Lake Shore Dr,Chicago,IL,
33,808 N Lake Shore Dr,Chicago,IL,
34,140 E Walton Pl,Chicago,IL,
35,24 W Walton St,Chicago,IL,
36,160 W Wendell St,Chicago,IL,
37,24 W Walton St,Chicago,IL,
38,24 W Walton St,Chicago,IL,
39,1630 N Clark St,Chicago,IL,
40,1255 N Sandberg Terr,Chicago,IL,
41,1630 N Clark St,Chicago,IL,
42,1630 N Clark St,Chicago,IL,
43,1460 N Sandburg Terr,Chicago,IL,
44,225 W Evergreen Ave,Chicago,IL,
45,225 W Evergreen Ave,Chicago,IL,
46,1640 N Wells St,Chicago,IL,
47,1734 N Orleans St,Chicago,IL,
48,1420 N Hudson,Chicago,IL,
49,700 W Willow St,Chicago,IL,
50,2250 N Clifton Ave,Chicago,IL,
51,2270 N Clybourn Ave,Chicago,IL,
52,4934 S Wabash,Chicago,IL,
53,400 E 41st St,Chicago,IL,
54,55 W Cermak Rd,Chicago,IL,
55,4414 S Evans,Chicago,IL,
56,4316 S Princeton Ave,Chicago,IL,
57,1801 S Indiana Ave,Chicago,IL,
58,3245 S Prairie Ave,Chicago,IL,
59,346 E 53rd St,Chicago,IL,
60,1212 S Plymouth Ct,Chicago,IL,
61,1440 S Indiana Ave,Chicago,IL,
62,4415 S ML King Dr,Chicago,IL,
63,4747 S King Dr,Chicago,IL,
64,1212 S Plymouth Ct,Chicago,IL,
65,1500 S Michigan Ave,Chicago,IL,
66,4101 S Calumet Ave,Chicago,IL,
67,1440 S Indiana Ave,Chicago,IL,
68,3630 S Wells St,Chicago,IL,
69,2731 S Dearborn St,Chicago,IL,
70,2347 S Wabash Ave,Chicago,IL,
71,340 E 38th St,Chicago,IL,
72,1500 S Michigan Ave,Chicago,IL,
73,2347 S Wabash Ave,Chicago,IL,
74,3647 S State St,Chicago,IL,
75,25 W 47th St,Chicago,IL,
76,1104 S Wabash Ave,Chicago,IL,
77,8 W Root St,Chicago,IL,
78,1801 S Indiana Ave,Chicago,IL,
79,5015 S Blackstone Ave,Chicago,IL,
80,1330 E 50th St,Chicago,IL,
81,1330 E 50th St,Chicago,IL,
82,4930 S Langley ,Chicago,IL,
83,4949 S Cottge Grv ,Chicago,IL,
84,1119 E 46th St,Chicago,IL,
85,1330 E 50th St,Chicago,IL,
86,4850 S Lake Park Ave,Chicago,IL,
87,4445 S Drexel Bv,Chicago,IL,
88,1119 E 46th St,Chicago,IL,
89,4434 S Lake Park Ave,Chicago,IL,
90,4445 S Drexel Bv,Chicago,IL,
91,740 E 43rd St,Chicago,IL,
92,4227 S Oakenwald Ave,Chicago,IL,
93,700 E Oakwood,Chicago,IL,
94,3983 S Lake Park Ave,Chicago,IL,
95,3858 S Cottage Grove Ave,Chicago,IL,
96,3550 S Rhodes Ave,Chicago,IL,
97,3200 S Calumet,Chicago,IL,
98,3436 S M L King Dr,Chicago,IL,
99,601 E 32nd St,Chicago,IL,
100,2921 S Michigan Ave,Chicago,IL,
101,2901 S M L King Dr,Chicago,IL,
102,2631 S Indiana Ave,Chicago,IL,
103,1104 S Wabash Ave,Chicago,IL,
104,700 S State St,Chicago,IL,
105,700 S State St,Chicago,IL,
106,637 S Dearborn St,Chicago,IL,
107,1833 E 71st St,Chicago,IL,
108,6940 S Merrill Ave,Chicago,IL,
